序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,00,08,臺中市,西屯區,0,1,0,7,6,03,01,1,5,4,1,6,4,4,10,5,5,1,17,2,09,5,C03,7,05,02,11,,84,84,1,13,04,120.621145,24.183703,2
2,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,00,30,臺中市,沙鹿區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,07,,1,06,04,120.569563,24.237414,3
3,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,00,40,臺中市,東區,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,119,,1,,,120.701869,24.133598,3
4,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,00,40,臺中市,太平區,0,1,0,7,6,03,01,1,5,4,6,6,3,1,10,5,5,2,28,2,09,2,C03,7,09,02,11,,85,85,1,13,04,120.735865,24.133350,2
5,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,01,17,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,17,3,10,3,B03,7,11,02,05,,45,45,1,12,04,120.644141,24.175014,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,01,50,臺中市,西屯區,0,1,0,7,6,03,01,1,5,4,6,6,4,4,10,5,5,2,30,2,09,5,C03,7,06,02,11,,84,84,1,13,04,120.641285,24.172526,2
7,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,02,47,臺中市,南屯區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,01,4,5,2,17,2,09,2,C03,7,09,02,11,,59,59,1,06,04,120.622646,24.148912,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,03,32,臺中市,北區,0,0,0,7,,,,,,,,,,,,,,,17,,,,C03,,,02,,,51,,1,12,04,120.699044,24.152225,3
9,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,05,28,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B02,,,02,,,51,51,1,12,04,120.683834,24.169074,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,05,41,臺中市,南區,0,0,0,7,6,,,,,,,,,,,,,,17,,,,B12,,,02,,,85,85,1,13,04,120.670076,24.114792,3
11,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,06,15,臺中市,石岡區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,01,,,49,49,1,12,04,120.774897,24.275039,3
12,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,06,21,臺中市,沙鹿區,0,1,0,7,6,13,09,1,5,4,6,5,4,4,05,5,5,1,17,2,07,1,C03,7,09,09,14,,34,34,1,12,04,120.580809,24.217315,2
13,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,06,32,臺中市,東區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,51,,1,12,04,120.699890,24.141626,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,06,46,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,01,,,07,,1,06,04,120.525795,24.224685,3
15,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,06,49,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,16,,,,C03,,,02,,,39,,1,06,04,120.614025,24.139097,3
16,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,10,臺中市,龍井區,0,0,0,6,,,,,,,,,,,,,,,13,,,,C03,,,02,,,07,,1,13,04,120.585451,24.186004,3
17,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,10,臺中市,沙鹿區,0,1,0,7,6,03,08,1,5,4,6,6,2,1,01,4,2,1,17,3,10,3,A12,7,01,02,04,,51,51,1,06,04,120.579995,24.219582,2
18,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,12,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,01,,,84,84,1,13,04,120.691420,24.171692,3
19,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,15,臺中市,南區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,09,3,10,3,B03,7,06,02,04,,10,10,1,12,04,120.663909,24.116880,2
20,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,16,臺中市,烏日區,0,1,0,7,6,11,09,1,5,4,6,6,4,4,10,5,5,1,18,2,09,2,C03,7,09,02,14,,84,84,1,13,04,120.589978,24.124278,2
21,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,18,臺中市,烏日區,0,0,0,7,6,05,01,1,5,4,6,6,1,1,01,4,1,1,17,,,,A04,,,02,,,23,,1,12,04,120.631206,24.104986,3
22,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,20,臺中市,清水區,0,0,0,7,6,04,01,1,5,4,6,6,4,4,,3,5,1,15,,,,B03,,,02,,,15,,1,12,04,120.556658,24.275111,3
23,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,20,臺中市,大甲區,0,1,0,7,6,03,02,1,5,4,6,6,1,1,05,5,5,1,12,2,09,2,C03,7,06,02,14,,87,87,1,06,04,120.654107,24.379405,2
24,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,23,臺中市,大雅區,0,0,0,7,6,13,08,1,5,4,6,6,4,4,09,5,4,1,17,,,,C03,,,01,,,07,,1,13,04,120.642218,24.219702,3
25,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,23,臺中市,西區,0,2,0,7,6,03,01,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,B03,7,15,02,02,,46,46,1,12,04,120.664589,24.132356,2
26,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,28,臺中市,霧峰區,0,0,0,7,,,,,,,,,,,,,,,,,,,A05,,,02,,,08,,1,12,04,120.699583,24.059329,3
27,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,28,臺中市,大里區,0,1,0,6,6,04,02,1,5,4,6,6,1,1,01,4,4,1,12,3,10,3,B03,7,05,02,02,,11,11,1,06,04,120.682218,24.104495,2
28,66000,387130000C,(04)23274275,(04)23288582,2024,03,01,07,30,臺中市,烏日區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,B03,7,01,02,01,,51,51,1,13,04,120.595975,24.110024,2
