序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,00,22,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,58,,1,06,04,120.649882,24.150899,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,00,40,臺中市,北屯區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,B01,7,06,02,08,,84,11,1,12,04,120.690371,24.176874,2
3,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,00,45,臺中市,太平區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,09,4,5,2,27,2,09,1,C03,7,09,02,11,12,59,59,1,12,04,120.703132,24.119975,2
4,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,01,12,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,02,,,59,,1,06,04,120.534864,24.246312,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,01,18,臺中市,北區,0,0,0,5,,,,,,,,,,,,,,,17,,,,B03,,,02,,,12,,1,13,04,120.679275,24.152817,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,01,20,臺中市,外埔區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,59,,1,12,04,120.653927,24.331834,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,01,35,臺中市,南屯區,0,1,0,7,6,13,07,1,5,4,6,6,4,4,09,4,4,2,16,3,10,3,A11,7,11,02,16,,44,44,1,06,04,120.649203,24.153388,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,02,07,臺中市,龍井區,0,0,0,6,,,,,,,,,,,,,,,14,,,,B03,,,01,,,49,,1,06,04,120.586170,24.180371,4
9,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,03,47,臺中市,南區,0,0,0,7,,,,,,,,,,,,,,,17,,,,,,,,,,119,119,1,,,120.676873,24.132928,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,10,01,05,00,臺中市,沙鹿區,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,119,,1,,,120.579531,24.217201,3
