序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,00,07,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,76,,1,06,04,120.531863,24.255892,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,00,10,臺中市,大雅區,0,0,0,7,,,,,,,,,,,,,,,13,,,,C03,,,01,,,07,,1,13,04,120.672198,24.229081,3
3,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,00,19,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,08,,1,13,04,120.645082,24.178960,4
4,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,00,31,臺中市,大肚區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,59,,1,12,04,120.540877,24.150919,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,00,44,臺中市,南區,0,0,0,7,,,,,,,,,,,,,,,,,,,B02,,,01,,,84,84,1,12,04,120.664158,24.115401,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,01,10,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,82,,1,13,04,120.703569,24.175969,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,03,20,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,02,,,07,,1,05,04,120.710340,24.137947,3
8,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,04,40,臺中市,沙鹿區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,59,,1,12,04,120.563758,24.237520,3
9,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,05,26,臺中市,北區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,04,4,5,2,15,2,09,1,C03,7,09,02,11,,21,21,1,12,04,120.665783,24.166801,2
10,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,05,40,臺中市,大甲區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,05,5,5,1,12,3,10,3,B03,7,01,02,08,,51,51,1,06,04,120.622877,24.345363,2
11,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,05,49,臺中市,龍井區,0,2,0,7,6,04,01,1,5,4,6,6,3,1,10,5,5,2,15,2,09,5,C03,7,09,02,11,,24,24,1,06,04,120.523793,24.208294,2
12,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,05,53,臺中市,沙鹿區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,03,3,3,1,17,2,09,5,C03,7,09,02,11,,59,59,1,13,04,120.566218,24.230133,2
13,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,05,59,臺中市,大甲區,0,0,0,7,,,,,,,,,,,,,,,15,,,,B03,,,01,,,24,,1,13,04,120.622950,24.347282,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,06,13,臺中市,龍井區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,01,4,3,1,18,2,09,2,C03,7,09,02,15,,84,84,1,05,04,120.574414,24.183677,2
15,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,06,46,臺中市,大里區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,05,5,5,2,15,3,10,1,C03,7,09,02,14,,06,06,1,13,04,120.704151,24.106629,2
16,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,06,53,臺中市,大雅區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,08,,1,12,04,120.659902,24.231784,3
17,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,06,59,臺中市,南屯區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,03,5,3,2,17,2,09,2,C03,7,09,02,12,,59,59,1,13,04,120.586845,24.161984,2
18,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,06,59,臺中市,西屯區,0,1,0,7,6,03,01,1,5,4,6,6,4,4,10,5,5,2,18,2,09,1,C03,7,09,02,12,,59,59,1,12,04,120.618148,24.185146,2
19,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,07,03,臺中市,太平區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,16,3,10,3,B03,7,05,02,06,,26,26,1,13,04,120.717699,24.158471,2
20,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,07,07,臺中市,西屯區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,01,4,5,1,18,2,09,2,C03,7,08,01,14,,40,40,1,12,04,120.662943,24.201275,2
21,66000,387130000C,(04)23274275,(04)23288582,2024,07,01,07,10,臺中市,大甲區,0,1,0,7,6,03,01,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,B03,7,06,02,01,,14,14,1,12,04,120.692168,24.366195,2
