序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,00,15,臺中市,太平區,0,2,0,7,6,05,01,1,5,4,6,6,4,4,10,5,5,2,15,2,09,1,C03,7,09,02,12,,15,15,1,12,04,120.734974,24.146157,2
2,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,00,57,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,01,,,84,84,1,13,04,120.671257,24.134417,3
3,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,01,10,臺中市,西屯區,0,1,0,7,6,04,02,1,5,4,6,6,4,4,10,5,5,2,16,2,09,1,C03,7,06,02,11,,14,14,1,13,02,120.661169,24.199061,2
4,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,01,30,臺中市,大雅區,0,2,0,7,6,04,01,1,5,4,6,6,3,1,10,4,5,2,17,3,10,3,B03,7,09,02,02,,20,20,1,12,04,120.653182,24.247870,2
5,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,01,42,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,58,,1,13,04,120.714777,24.250503,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,02,03,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,39,,1,12,04,120.719630,24.251728,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,02,40,臺中市,西屯區,0,1,0,7,6,03,01,1,5,4,6,6,3,1,10,5,5,2,16,3,10,3,B03,7,05,02,02,,47,47,1,12,04,120.638347,24.203173,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,02,47,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,86,,1,,,120.669969,24.146576,3
9,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,03,20,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,59,,1,11,04,120.696754,24.176059,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,03,58,臺中市,北屯區,0,0,0,7,6,13,09,1,5,4,6,6,4,4,09,5,5,2,11,3,10,3,B03,7,09,02,04,,41,41,1,12,04,120.693590,24.181881,3
11,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,04,45,臺中市,東區,0,0,0,7,6,13,09,1,5,4,6,6,4,4,01,4,5,2,17,3,10,3,B03,7,09,02,08,,59,59,1,06,04,120.696643,24.130844,3
12,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,05,02,臺中市,中區,0,1,0,7,6,13,09,1,5,2,6,6,4,4,05,4,5,2,17,2,09,1,C03,7,09,02,11,14,05,05,1,13,04,120.680478,24.143173,2
13,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,05,36,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,12,,,,C03,,,01,,,84,,1,12,04,120.634948,24.162755,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,06,37,臺中市,梧棲區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,10,5,5,2,15,2,08,1,C03,7,09,02,11,,12,12,1,06,04,120.557847,24.241804,2
15,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,06,49,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,40,,1,12,04,120.715928,24.148832,3
16,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,06,51,臺中市,西屯區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,05,5,5,2,11,3,10,1,C03,7,08,02,11,,34,34,1,13,04,120.668778,24.177087,2
17,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,07,05,臺中市,沙鹿區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,59,,1,13,04,120.587663,24.249980,3
18,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,07,40,臺中市,太平區,0,2,0,7,6,13,09,1,5,4,6,6,4,4,05,4,5,2,17,2,09,1,C03,7,09,02,14,11,59,59,1,12,04,120.716742,24.148788,2
19,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,07,41,臺中市,東區,0,2,0,7,6,04,01,1,5,4,6,6,1,1,09,4,4,2,12,2,08,1,C03,7,09,02,12,,07,07,1,12,04,120.697168,24.135159,2
20,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,07,50,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,84,,1,12,04,120.547956,24.233244,3
21,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,07,54,臺中市,神岡區,0,1,0,7,6,03,02,1,5,4,5,6,1,1,10,4,4,1,13,4,11,5,F03,7,09,02,11,,59,59,1,12,04,120.671102,24.256320,2
22,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,07,57,臺中市,東勢區,0,1,0,7,6,03,02,1,5,4,6,6,4,4,05,5,5,1,12,3,10,3,B03,7,04,02,02,,08,08,1,12,04,120.780799,24.285762,2
23,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,02,臺中市,太平區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,10,5,5,2,03,3,10,3,B03,7,06,02,08,,10,10,1,13,04,120.718132,24.128344,2
24,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,09,臺中市,北區,0,0,0,7,,,,,,,,,,,,,,,15,,,,B12,,,02,,,15,15,1,12,04,120.678817,24.158193,3
25,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,20,臺中市,豐原區,0,1,0,7,6,04,04,1,5,4,6,6,1,1,01,2,5,2,17,2,09,2,C03,7,08,02,14,,35,35,1,12,04,120.709016,24.250466,2
26,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,35,臺中市,大雅區,0,1,0,7,6,03,09,1,5,4,6,6,4,4,10,5,5,1,16,3,10,3,B03,7,01,02,01,,51,51,1,13,04,120.654498,24.225622,2
27,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,38,臺中市,大甲區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,94,,1,06,04,120.645393,24.405015,3
28,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,45,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,40,,1,12,04,120.719535,24.243067,3
29,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,45,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,12,,,,F03,,,02,,,84,,1,12,04,120.718876,24.243662,3
30,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,48,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,12,,,,F01,,,02,,,84,,1,12,04,120.715658,24.241772,3
31,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,50,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,49,,1,12,04,120.703496,24.151921,3
32,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,08,55,臺中市,北區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B03,,,01,,,49,,1,13,04,120.686760,24.162426,3
33,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,10,臺中市,南屯區,0,1,0,7,6,04,02,1,5,4,6,6,1,1,10,5,5,2,17,3,10,5,B12,7,06,02,01,,04,04,1,12,04,120.626383,24.115068,2
34,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,12,臺中市,大里區,0,1,0,7,6,13,12,1,5,4,6,6,4,4,01,5,1,1,13,2,09,1,C02,7,09,02,11,12,07,07,1,06,04,120.662870,24.083255,2
35,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,24,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,12,,,,C03,,,01,,,01,,1,12,04,120.746186,24.190179,3
36,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,35,臺中市,西屯區,0,2,0,7,6,04,02,1,5,4,6,6,4,4,05,5,5,2,13,2,09,1,C03,7,09,02,11,,07,07,1,12,04,120.657613,24.165140,2
37,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,37,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,C02,,,11,,,77,,1,13,04,120.642316,24.175661,3
38,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,49,臺中市,大安區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,04,5,5,1,12,2,09,2,C03,7,09,02,14,,42,42,1,06,04,120.586158,24.373171,2
39,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,09,50,臺中市,新社區,0,0,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,13,,,,B12,,,02,,,07,,1,12,04,120.821151,24.181110,3
40,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,00,臺中市,北屯區,0,1,0,7,6,03,02,1,5,4,6,6,1,1,04,3,4,2,24,2,09,1,C03,7,05,02,11,,58,58,1,06,02,120.733227,24.170035,2
41,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,02,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,09,,,55,,1,12,04,120.679286,24.175161,3
42,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,06,臺中市,霧峰區,0,0,0,7,,,,,,,,,,,,,,,17,,,,C03,,,02,,,08,,1,12,04,120.705883,24.072918,3
43,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,09,臺中市,南屯區,0,1,0,7,6,04,01,1,5,4,6,6,2,1,04,3,4,2,16,3,10,3,B03,7,06,02,08,,11,11,1,13,04,120.648305,24.132052,2
44,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,10,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,01,,,50,50,1,12,04,120.643823,24.137417,3
45,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,19,臺中市,石岡區,0,0,0,7,6,13,07,1,5,4,6,6,4,4,01,4,4,1,13,,,,B03,,,02,,,07,,1,12,04,120.762598,24.277227,3
46,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,21,臺中市,北區,0,1,0,7,6,04,01,1,5,4,6,6,2,1,01,5,5,2,16,3,10,3,B03,7,05,02,05,,20,20,1,12,04,120.685119,24.165279,2
47,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,21,臺中市,東區,0,1,0,7,6,13,07,1,5,4,6,6,4,4,05,4,4,2,17,2,07,1,C03,7,09,02,11,,07,07,1,13,04,120.706785,24.136574,2
48,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,22,臺中市,南區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,84,,1,13,04,120.670090,24.116663,3
49,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,22,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B03,,,02,,,49,,1,12,04,120.720296,24.253160,3
50,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,23,臺中市,豐原區,0,1,0,7,6,13,07,1,5,4,6,6,4,4,05,5,4,2,17,2,09,5,C03,7,01,02,16,,51,51,1,12,04,120.706226,24.243685,2
51,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,23,臺中市,神岡區,0,0,0,7,,,,,,,,,,,,,,,12,,,,B03,,,02,,,51,,1,12,04,120.686149,24.244939,3
52,66000,387130000C,(04)23274275,(04)23288582,2024,09,01,10,31,臺中市,東區,0,1,0,7,6,04,02,1,5,4,6,6,1,1,10,5,5,2,13,2,09,2,C03,7,09,02,11,,07,07,1,06,04,120.694457,24.147985,2
