序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,00,07,臺中市,龍井區,0,1,0,7,6,12,09,1,5,4,6,6,4,4,05,4,5,1,19,2,09,1,C01,7,09,08,11,,59,53,1,12,04,120.561213,24.191573,2
2,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,00,18,臺中市,潭子區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,05,5,5,1,28,2,09,2,C03,7,09,02,16,,59,59,1,13,04,120.699442,24.194421,2
3,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,00,24,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B03,,,02,,,49,,1,13,04,120.671037,24.151635,3
4,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,00,30,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,84,,1,12,04,120.657835,24.152158,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,00,30,臺中市,清水區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,07,,1,12,04,120.596377,24.304045,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,00,33,臺中市,西屯區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,03,4,3,2,17,3,10,3,B02,7,06,02,02,,23,48,1,12,04,120.593044,24.183185,2
7,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,01,35,臺中市,東區,0,0,0,7,,,,,,,,,,,,,,,,,,,A12,,,02,,,84,,1,12,04,120.708533,24.141109,3
8,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,01,41,臺中市,潭子區,0,2,0,7,6,03,01,1,5,4,6,6,3,1,01,4,4,1,13,3,10,3,B03,7,09,02,01,,55,55,1,13,04,120.702633,24.196934,2
9,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,01,58,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,12,,,,B03,,,02,,,59,,1,13,04,120.638165,24.145616,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,02,01,01,58,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B01,,,02,,,59,,1,12,04,120.656581,24.188278,3
