序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,00,22,臺中市,中區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,07,07,1,13,04,120.678049,24.146238,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,00,31,臺中市,神岡區,0,1,0,6,6,04,01,1,3,4,6,6,1,1,10,5,5,2,17,3,10,3,B03,7,06,02,08,,11,11,1,13,04,120.653778,24.271688,2
3,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,00,33,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,84,,1,12,04,120.662609,24.155678,3
4,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,00,40,臺中市,南區,0,0,0,6,,,,,,,,,,,,,,,17,,,,,,,,,,119,,1,,,120.666561,24.118542,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,00,55,臺中市,北區,0,2,0,7,9,04,02,1,5,4,6,6,1,1,05,4,5,2,16,2,09,1,C03,7,06,02,12,,23,23,1,12,04,120.680967,24.160363,2
6,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,00,58,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,59,59,1,06,04,120.615594,24.149842,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,01,10,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,59,,1,06,04,120.537136,24.258706,3
8,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,01,20,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,16,,,,B03,,,01,,,14,14,1,06,04,120.531678,24.251447,3
9,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,01,37,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,30,,,,B03,,,01,,,59,,1,13,04,120.637831,24.149572,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,01,41,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B12,,,02,,,84,,1,13,04,120.654875,24.199146,3
11,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,03,15,臺中市,大雅區,0,1,0,6,6,04,01,1,4,4,6,6,1,1,01,2,5,1,23,2,07,3,B03,7,06,02,01,,59,59,1,13,04,120.653583,24.221190,2
12,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,03,52,臺中市,東勢區,0,1,0,5,6,04,01,1,4,4,6,6,3,1,10,5,5,2,17,3,10,3,B12,7,09,09,15,,24,24,1,12,04,120.829681,24.257675,2
13,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,03,56,臺中市,北區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,84,,1,13,04,120.674140,24.168947,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,04,20,臺中市,豐原區,0,0,0,5,,,,,,,,,,,,,,,,,,,B03,,,02,,,49,,1,13,04,120.723029,24.265351,3
15,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,04,40,臺中市,東區,0,0,0,5,,,,,,,,,,,,,,,17,,,,B01,,,02,,,32,,1,12,04,120.701280,24.142716,3
16,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,05,20,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,49,,1,13,04,120.740613,24.262966,3
17,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,05,50,臺中市,清水區,0,1,0,7,6,04,01,1,5,4,6,6,3,1,08,3,4,2,17,3,10,3,B03,7,12,09,16,,24,24,2,12,04,120.561936,24.237675,2
18,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,05,53,臺中市,東區,0,1,0,5,6,04,01,1,4,4,6,6,1,1,10,5,5,2,18,2,09,1,C03,7,09,02,12,,84,84,1,13,04,120.685105,24.129604,2
19,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,32,臺中市,霧峰區,0,1,0,5,6,13,09,4,4,4,6,6,4,4,10,5,5,2,18,2,09,2,C03,7,09,02,14,,59,59,1,06,04,120.700606,24.062157,2
20,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,33,臺中市,大肚區,0,1,0,5,6,13,07,1,4,4,6,6,4,4,01,4,4,1,12,2,09,1,C03,7,08,02,14,,40,40,1,06,04,120.542370,24.167673,2
21,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,38,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,08,08,1,12,04,120.726392,24.244298,3
22,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,50,臺中市,西屯區,0,0,0,5,,,,,,,,,,,,,,,17,3,10,1,C03,7,09,01,11,,07,07,1,12,04,120.629316,24.163574,3
23,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,50,臺中市,潭子區,0,1,0,6,6,13,09,1,4,4,6,6,4,4,09,5,5,2,28,2,09,1,C03,7,09,02,14,,58,58,1,12,04,120.702873,24.216496,2
24,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,55,臺中市,大甲區,0,1,0,5,6,13,08,1,4,4,6,6,1,1,01,4,4,1,18,2,08,2,C03,7,09,02,12,,59,59,1,06,04,120.646597,24.404953,2
25,66000,387130000C,(04)23274275,(04)23288582,2024,04,01,06,55,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,84,,1,13,04,120.615711,24.189477,3
