序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,00,47,臺中市,潭子區,0,0,0,7,6,03,01,1,5,4,6,6,2,1,10,5,5,2,30,3,10,4,B03,7,09,05,08,05,58,58,1,12,04,120.702633,24.196934,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,00,54,臺中市,西屯區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,01,4,1,2,13,2,09,2,C03,7,09,02,11,,59,59,1,13,04,120.660245,24.173508,2
3,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,00,56,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,48,,1,06,04,120.643826,24.146854,3
4,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,01,00,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,30,,,,B03,,,09,,,50,50,1,13,04,120.646839,24.175076,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,01,28,臺中市,東區,0,1,0,7,6,04,02,1,5,4,6,6,2,1,01,4,4,2,13,3,10,3,B12,7,09,07,08,,53,53,1,06,04,120.691853,24.132436,2
6,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,01,33,臺中市,烏日區,0,0,0,6,,,,,,,,,,,,,,,,,,,B01,,,02,,,24,24,1,06,04,120.646453,24.093237,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,02,01,臺中市,北屯區,0,1,0,7,6,03,01,1,5,4,6,6,1,1,10,5,5,2,17,2,07,2,C01,7,09,02,12,,84,84,1,13,04,120.674261,24.203717,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,02,09,臺中市,南屯區,0,2,0,7,6,04,01,1,5,4,6,6,2,1,05,4,4,2,16,2,08,3,B03,7,06,03,05,,11,11,1,12,04,120.643826,24.146854,2
9,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,02,11,臺中市,北屯區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,05,4,5,2,17,2,09,5,C03,7,09,02,11,,84,84,1,13,04,120.705317,24.164118,2
10,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,02,46,臺中市,霧峰區,0,3,0,7,6,13,09,1,5,4,6,6,3,1,05,5,5,1,22,2,09,5,C03,7,09,02,11,,59,59,1,12,04,120.699052,24.077985,2
11,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,02,48,臺中市,西屯區,0,0,0,7,6,13,07,1,5,4,6,6,1,1,09,2,4,2,13,3,10,3,B03,7,09,08,03,,53,53,1,13,04,120.662968,24.163798,3
12,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,03,00,臺中市,大里區,0,0,0,7,3,13,09,1,5,4,6,6,4,4,01,3,5,1,20,,,,B03,,,02,,,84,,1,13,04,120.693230,24.104338,3
13,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,03,00,臺中市,太平區,0,2,0,7,6,03,01,1,5,4,6,6,4,4,10,5,5,2,16,2,09,5,C03,7,06,02,11,,20,20,1,12,04,120.702929,24.155233,2
14,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,03,03,臺中市,大里區,0,1,0,7,6,13,14,1,5,4,6,6,4,4,05,4,5,1,17,2,01,3,B02,7,09,02,05,,59,59,1,13,04,120.675025,24.106271,2
15,66000,387130000C,(04)23274275,(04)23288582,2024,12,01,04,55,臺中市,南屯區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,05,5,5,2,16,3,10,3,B03,7,06,09,08,,12,12,1,06,04,120.641884,24.146877,2
