序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,00,00,臺中市,大里區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,05,5,5,2,28,2,09,1,F03,7,09,01,11,,87,87,1,12,04,120.688124,24.118244,2
2,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,00,38,臺中市,西屯區,0,2,0,7,6,03,01,1,5,4,6,6,2,1,05,5,5,2,13,2,08,5,C03,7,09,01,11,,59,59,1,12,04,120.641071,24.178559,2
3,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,00,39,臺中市,神岡區,0,1,0,5,6,13,08,1,4,4,6,6,4,4,05,4,4,1,28,2,09,1,C03,7,09,02,12,,84,84,1,06,04,120.668549,24.257213,2
4,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,00,45,臺中市,神岡區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B12,,,02,,,49,,1,06,04,120.660777,24.254967,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,00,52,臺中市,中區,0,0,0,7,6,04,01,1,5,4,6,6,1,1,09,5,5,2,13,,,,B03,,,02,,,07,,1,12,04,120.682078,24.142891,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,02,08,臺中市,太平區,0,1,0,7,6,05,01,1,5,4,6,6,3,1,05,5,5,2,17,3,10,1,C03,7,09,02,12,,20,20,1,05,04,120.734357,24.145593,2
7,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,02,59,臺中市,潭子區,0,1,0,7,6,13,14,1,5,4,6,6,4,4,10,5,5,2,24,2,09,1,C03,7,09,09,11,,43,43,2,13,04,120.687635,24.210437,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,02,59,臺中市,后里區,0,1,0,7,6,04,02,1,5,4,6,6,1,1,09,5,5,1,13,2,09,2,C03,7,09,02,11,,84,59,1,12,04,120.717793,24.309618,2
9,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,04,55,臺中市,大雅區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,10,5,5,1,27,2,09,3,B12,7,09,02,01,,55,55,1,13,04,120.640605,24.209343,2
10,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,05,31,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,,,,,B12,,,02,,,49,49,1,12,04,120.706666,24.153217,3
11,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,05,48,臺中市,太平區,0,2,0,7,6,03,01,1,5,4,6,6,4,4,05,5,5,2,17,2,09,1,C03,7,06,02,14,,48,48,1,12,04,120.702323,24.155537,2
12,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,05,53,臺中市,豐原區,0,2,0,7,6,03,01,1,5,4,6,6,3,1,10,5,5,2,16,2,09,2,C03,7,05,02,11,,24,24,1,13,04,120.718107,24.257248,2
13,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,06,10,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,17,,,,A12,,,01,,,84,,1,06,04,120.722315,24.124780,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,08,01,06,20,臺中市,太平區,0,1,0,7,6,13,12,1,5,4,6,6,4,4,05,5,5,2,17,3,10,1,C03,7,01,02,11,,51,51,1,12,04,120.729234,24.150069,2
