序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,03,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,30,,,,B03,,,01,,,45,,1,12,04,120.645504,24.175823,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,11,臺中市,太平區,0,0,0,5,,,,,,,,,,,,,,,27,,,,B03,,,02,,,84,,1,13,04,120.717509,24.117540,3
3,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,12,臺中市,太平區,0,1,0,6,6,03,01,1,5,4,6,6,3,1,10,5,5,2,16,2,07,2,C03,7,06,02,11,,48,48,1,13,04,120.723277,24.144967,2
4,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,14,臺中市,神岡區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B03,,,02,,,49,,1,12,04,120.675219,24.241453,3
5,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,19,臺中市,北區,0,1,0,7,6,04,01,1,5,4,6,6,2,1,01,5,5,2,17,3,10,3,B03,7,06,02,05,,08,08,1,12,04,120.681307,24.152895,2
6,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,25,臺中市,西屯區,0,0,0,5,,,,,,,,,,,,,,,17,3,10,1,C03,7,09,01,11,,59,07,1,12,04,120.645269,24.177988,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,57,臺中市,南屯區,0,1,0,6,6,04,01,1,5,4,6,6,3,1,04,3,5,2,15,3,10,3,B03,7,09,02,05,,24,24,1,13,04,120.642639,24.149881,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,00,59,臺中市,霧峰區,0,2,0,7,6,04,01,1,5,4,6,6,1,1,09,4,4,1,17,3,10,3,B03,7,05,02,02,,47,47,1,12,04,120.698048,24.059434,2
9,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,01,21,臺中市,北屯區,0,1,0,6,6,03,01,1,5,4,6,6,4,4,10,5,5,2,17,2,09,1,C03,7,06,02,12,,12,12,1,12,04,120.709417,24.178233,2
10,66000,387130000C,(04)23274275,(04)23288582,2024,06,01,01,48,臺中市,沙鹿區,0,0,0,5,,,,,,,,,,,,,,,,,,,B02,,,02,,,08,,1,13,04,120.602360,24.232106,3
