序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,00,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B01,,,01,,,84,,1,13,04,120.639604,24.165783,3
2,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,01,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,C03,,,02,,,84,,1,12,04,120.660403,24.182562,3
3,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,03,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,,,,,,,86,,1,,,120.686606,24.205166,4
4,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,05,臺中市,大雅區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,08,5,5,1,17,3,10,3,B03,7,15,02,04,,39,39,1,12,04,120.624083,24.209466,2
5,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,06,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,11,,,84,,1,12,04,120.655099,24.176111,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,08,臺中市,北屯區,0,3,0,7,6,13,09,1,5,4,6,6,4,4,05,5,5,2,17,2,08,1,C03,7,09,02,12,,07,07,1,12,04,120.659032,24.187093,2
7,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,10,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,87,,1,13,04,120.634427,24.172064,3
8,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,30,臺中市,后里區,0,0,0,7,,,,,,,,,,,,,,,12,,,,B03,,,01,,,84,84,1,06,04,120.713577,24.328928,3
9,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,31,臺中市,南屯區,0,5,0,7,6,03,01,1,5,4,6,6,4,4,10,5,5,2,02,2,09,5,C02,7,09,05,11,,53,53,1,12,04,120.585512,24.138892,2
10,66000,387130000C,(04)23274275,(04)23288582,2024,01,01,00,32,臺中市,南區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,09,5,5,2,17,2,08,5,C03,7,09,02,11,,84,84,1,13,04,120.654074,24.123037,2
